Book,Author,Amount,Price,Book1,Author1,Amount1,Price1,Book2,Author2,Amount2,Price2,Book3,Author3,Amount3,Price3,Book4,Author4,Amount4,Price4
The 7 Habits of Highly Effective People,Stephen R. Covey,"-49,21212121",23.57,The 7 Habits of Highly Effective People,Stephen R. Covey,"-49,21212121",23.57,The 7 Habits of Highly Effective People,Stephen R. Covey,"-49,21212121",23.57,The 7 Habits of Highly Effective People,Stephen R. Covey,"-49,21212121",23.57,The 7 Habits of Highly Effective People,Stephen R. Covey,"-49,21212121",23.57
The Miracle Morning,Hal Elrod,"-49,40606061",21.43,The Miracle Morning,Hal Elrod,"-49,40606061",21.43,The Miracle Morning,Hal Elrod,"-49,40606061",21.43,The Miracle Morning,Hal Elrod,"-49,40606061",21.43,The Miracle Morning,Hal Elrod,"-49,40606061",21.43
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-49,6",12.108,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-49,6",12.108,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-49,6",12.108,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-49,6",12.108,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-49,6",12.108
The ONE Thing,Gary Keller,"-49,79393939",11.27,The ONE Thing,Gary Keller,"-49,79393939",11.27,The ONE Thing,Gary Keller,"-49,79393939",11.27,The ONE Thing,Gary Keller,"-49,79393939",11.27,The ONE Thing,Gary Keller,"-49,79393939",11.27
The Compound Effect,Darren Hardy,"-49,98787879",9.57,The Compound Effect,Darren Hardy,"-49,98787879",9.57,The Compound Effect,Darren Hardy,"-49,98787879",9.57,The Compound Effect,Darren Hardy,"-49,98787879",9.57,The Compound Effect,Darren Hardy,"-49,98787879",9.57
The 7 Habits of Highly Effective People,Stephen R. Covey,"-50,18181818",23.57,The 7 Habits of Highly Effective People,Stephen R. Covey,"-50,18181818",23.57,The 7 Habits of Highly Effective People,Stephen R. Covey,"-50,18181818",23.57,The 7 Habits of Highly Effective People,Stephen R. Covey,"-50,18181818",23.57,The 7 Habits of Highly Effective People,Stephen R. Covey,"-50,18181818",23.57
The Miracle Morning,Hal Elrod,"-50,37575758",21.43,The Miracle Morning,Hal Elrod,"-50,37575758",21.43,The Miracle Morning,Hal Elrod,"-50,37575758",21.43,The Miracle Morning,Hal Elrod,"-50,37575758",21.43,The Miracle Morning,Hal Elrod,"-50,37575758",21.43
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-50,56969697",12.108,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-50,56969697",12.108,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-50,56969697",12.108,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-50,56969697",12.108,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-50,56969697",12.108
The ONE Thing,Gary Keller,"-50,76363636",11.27,The ONE Thing,Gary Keller,"-50,76363636",11.27,The ONE Thing,Gary Keller,"-50,76363636",11.27,The ONE Thing,Gary Keller,"-50,76363636",11.27,The ONE Thing,Gary Keller,"-50,76363636",11.27
The Compound Effect,Darren Hardy,"-50,95757576",9.58,The Compound Effect,Darren Hardy,"-50,95757576",9.58,The Compound Effect,Darren Hardy,"-50,95757576",9.58,The Compound Effect,Darren Hardy,"-50,95757576",9.58,The Compound Effect,Darren Hardy,"-50,95757576",9.58
The 7 Habits of Highly Effective People,Stephen R. Covey,"-51,15151515",23.58,The 7 Habits of Highly Effective People,Stephen R. Covey,"-51,15151515",23.58,The 7 Habits of Highly Effective People,Stephen R. Covey,"-51,15151515",23.58,The 7 Habits of Highly Effective People,Stephen R. Covey,"-51,15151515",23.58,The 7 Habits of Highly Effective People,Stephen R. Covey,"-51,15151515",23.58
The Miracle Morning,Hal Elrod,"-51,34545455",21.44,The Miracle Morning,Hal Elrod,"-51,34545455",21.44,The Miracle Morning,Hal Elrod,"-51,34545455",21.44,The Miracle Morning,Hal Elrod,"-51,34545455",21.44,The Miracle Morning,Hal Elrod,"-51,34545455",21.44
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-51,53939394",12.109,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-51,53939394",12.109,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-51,53939394",12.109,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-51,53939394",12.109,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-51,53939394",12.109
The ONE Thing,Gary Keller,"-51,73333333",11.28,The ONE Thing,Gary Keller,"-51,73333333",11.28,The ONE Thing,Gary Keller,"-51,73333333",11.28,The ONE Thing,Gary Keller,"-51,73333333",11.28,The ONE Thing,Gary Keller,"-51,73333333",11.28
The Compound Effect,Darren Hardy,"-51,92727273",9.58,The Compound Effect,Darren Hardy,"-51,92727273",9.58,The Compound Effect,Darren Hardy,"-51,92727273",9.58,The Compound Effect,Darren Hardy,"-51,92727273",9.58,The Compound Effect,Darren Hardy,"-51,92727273",9.58
The 7 Habits of Highly Effective People,Stephen R. Covey,"-52,12121212",23.58,The 7 Habits of Highly Effective People,Stephen R. Covey,"-52,12121212",23.58,The 7 Habits of Highly Effective People,Stephen R. Covey,"-52,12121212",23.58,The 7 Habits of Highly Effective People,Stephen R. Covey,"-52,12121212",23.58,The 7 Habits of Highly Effective People,Stephen R. Covey,"-52,12121212",23.58
The Miracle Morning,Hal Elrod,"-52,31515152",21.44,The Miracle Morning,Hal Elrod,"-52,31515152",21.44,The Miracle Morning,Hal Elrod,"-52,31515152",21.44,The Miracle Morning,Hal Elrod,"-52,31515152",21.44,The Miracle Morning,Hal Elrod,"-52,31515152",21.44
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-52,50909091",12.109,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-52,50909091",12.109,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-52,50909091",12.109,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-52,50909091",12.109,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-52,50909091",12.109
The ONE Thing,Gary Keller,"-52,7030303",11.28,The ONE Thing,Gary Keller,"-52,7030303",11.28,The ONE Thing,Gary Keller,"-52,7030303",11.28,The ONE Thing,Gary Keller,"-52,7030303",11.28,The ONE Thing,Gary Keller,"-52,7030303",11.28
The Compound Effect,Darren Hardy,"-52,8969697",9.59,The Compound Effect,Darren Hardy,"-52,8969697",9.59,The Compound Effect,Darren Hardy,"-52,8969697",9.59,The Compound Effect,Darren Hardy,"-52,8969697",9.59,The Compound Effect,Darren Hardy,"-52,8969697",9.59
The 7 Habits of Highly Effective People,Stephen R. Covey,"-53,09090909",23.59,The 7 Habits of Highly Effective People,Stephen R. Covey,"-53,09090909",23.59,The 7 Habits of Highly Effective People,Stephen R. Covey,"-53,09090909",23.59,The 7 Habits of Highly Effective People,Stephen R. Covey,"-53,09090909",23.59,The 7 Habits of Highly Effective People,Stephen R. Covey,"-53,09090909",23.59
The Miracle Morning,Hal Elrod,"-53,28484848",21.45,The Miracle Morning,Hal Elrod,"-53,28484848",21.45,The Miracle Morning,Hal Elrod,"-53,28484848",21.45,The Miracle Morning,Hal Elrod,"-53,28484848",21.45,The Miracle Morning,Hal Elrod,"-53,28484848",21.45
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-53,47878788",12.110,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-53,47878788",12.110,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-53,47878788",12.110,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-53,47878788",12.110,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-53,47878788",12.110
The Compound Effect,Darren Hardy,"-53,67272727",9.57,The Compound Effect,Darren Hardy,"-53,67272727",9.57,The Compound Effect,Darren Hardy,"-53,67272727",9.57,The Compound Effect,Darren Hardy,"-53,67272727",9.57,The Compound Effect,Darren Hardy,"-53,67272727",9.57
The 7 Habits of Highly Effective People,Stephen R. Covey,"-53,86666667",23.57,The 7 Habits of Highly Effective People,Stephen R. Covey,"-53,86666667",23.57,The 7 Habits of Highly Effective People,Stephen R. Covey,"-53,86666667",23.57,The 7 Habits of Highly Effective People,Stephen R. Covey,"-53,86666667",23.57,The 7 Habits of Highly Effective People,Stephen R. Covey,"-53,86666667",23.57
The Miracle Morning,Hal Elrod,"-54,06060606",21.43,The Miracle Morning,Hal Elrod,"-54,06060606",21.43,The Miracle Morning,Hal Elrod,"-54,06060606",21.43,The Miracle Morning,Hal Elrod,"-54,06060606",21.43,The Miracle Morning,Hal Elrod,"-54,06060606",21.43
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-54,25454545",12.108,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-54,25454545",12.108,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-54,25454545",12.108,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-54,25454545",12.108,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-54,25454545",12.108
The ONE Thing,Gary Keller,"-54,44848485",11.27,The ONE Thing,Gary Keller,"-54,44848485",11.27,The ONE Thing,Gary Keller,"-54,44848485",11.27,The ONE Thing,Gary Keller,"-54,44848485",11.27,The ONE Thing,Gary Keller,"-54,44848485",11.27
The Compound Effect,Darren Hardy,"-54,64242424",9.57,The Compound Effect,Darren Hardy,"-54,64242424",9.57,The Compound Effect,Darren Hardy,"-54,64242424",9.57,The Compound Effect,Darren Hardy,"-54,64242424",9.57,The Compound Effect,Darren Hardy,"-54,64242424",9.57
The 7 Habits of Highly Effective People,Stephen R. Covey,"-54,83636364",23.57,The 7 Habits of Highly Effective People,Stephen R. Covey,"-54,83636364",23.57,The 7 Habits of Highly Effective People,Stephen R. Covey,"-54,83636364",23.57,The 7 Habits of Highly Effective People,Stephen R. Covey,"-54,83636364",23.57,The 7 Habits of Highly Effective People,Stephen R. Covey,"-54,83636364",23.57
The Miracle Morning,Hal Elrod,"-55,03030303",21.43,The Miracle Morning,Hal Elrod,"-55,03030303",21.43,The Miracle Morning,Hal Elrod,"-55,03030303",21.43,The Miracle Morning,Hal Elrod,"-55,03030303",21.43,The Miracle Morning,Hal Elrod,"-55,03030303",21.43
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-55,22424242",12.108,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-55,22424242",12.108,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-55,22424242",12.108,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-55,22424242",12.108,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-55,22424242",12.108
The ONE Thing,Gary Keller,"-55,41818182",11.27,The ONE Thing,Gary Keller,"-55,41818182",11.27,The ONE Thing,Gary Keller,"-55,41818182",11.27,The ONE Thing,Gary Keller,"-55,41818182",11.27,The ONE Thing,Gary Keller,"-55,41818182",11.27
The Compound Effect,Darren Hardy,"-55,61212121",9.58,The Compound Effect,Darren Hardy,"-55,61212121",9.58,The Compound Effect,Darren Hardy,"-55,61212121",9.58,The Compound Effect,Darren Hardy,"-55,61212121",9.58,The Compound Effect,Darren Hardy,"-55,61212121",9.58
The 7 Habits of Highly Effective People,Stephen R. Covey,"-55,80606061",23.58,The 7 Habits of Highly Effective People,Stephen R. Covey,"-55,80606061",23.58,The 7 Habits of Highly Effective People,Stephen R. Covey,"-55,80606061",23.58,The 7 Habits of Highly Effective People,Stephen R. Covey,"-55,80606061",23.58,The 7 Habits of Highly Effective People,Stephen R. Covey,"-55,80606061",23.58
The Miracle Morning,Hal Elrod,-56,21.44,The Miracle Morning,Hal Elrod,-56,21.44,The Miracle Morning,Hal Elrod,-56,21.44,The Miracle Morning,Hal Elrod,-56,21.44,The Miracle Morning,Hal Elrod,-56,21.44
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-56,19393939",12.109,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-56,19393939",12.109,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-56,19393939",12.109,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-56,19393939",12.109,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-56,19393939",12.109
The ONE Thing,Gary Keller,"-56,38787879",11.28,The ONE Thing,Gary Keller,"-56,38787879",11.28,The ONE Thing,Gary Keller,"-56,38787879",11.28,The ONE Thing,Gary Keller,"-56,38787879",11.28,The ONE Thing,Gary Keller,"-56,38787879",11.28
The Compound Effect,Darren Hardy,"-56,58181818",9.58,The Compound Effect,Darren Hardy,"-56,58181818",9.58,The Compound Effect,Darren Hardy,"-56,58181818",9.58,The Compound Effect,Darren Hardy,"-56,58181818",9.58,The Compound Effect,Darren Hardy,"-56,58181818",9.58
The 7 Habits of Highly Effective People,Stephen R. Covey,"-56,77575758",23.58,The 7 Habits of Highly Effective People,Stephen R. Covey,"-56,77575758",23.58,The 7 Habits of Highly Effective People,Stephen R. Covey,"-56,77575758",23.58,The 7 Habits of Highly Effective People,Stephen R. Covey,"-56,77575758",23.58,The 7 Habits of Highly Effective People,Stephen R. Covey,"-56,77575758",23.58
The Miracle Morning,Hal Elrod,"-56,96969697",21.44,The Miracle Morning,Hal Elrod,"-56,96969697",21.44,The Miracle Morning,Hal Elrod,"-56,96969697",21.44,The Miracle Morning,Hal Elrod,"-56,96969697",21.44,The Miracle Morning,Hal Elrod,"-56,96969697",21.44
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-57,16363636",12.109,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-57,16363636",12.109,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-57,16363636",12.109,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-57,16363636",12.109,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-57,16363636",12.109
The ONE Thing,Gary Keller,"-57,35757576",11.28,The ONE Thing,Gary Keller,"-57,35757576",11.28,The ONE Thing,Gary Keller,"-57,35757576",11.28,The ONE Thing,Gary Keller,"-57,35757576",11.28,The ONE Thing,Gary Keller,"-57,35757576",11.28
The Compound Effect,Darren Hardy,"-57,55151515",9.59,The Compound Effect,Darren Hardy,"-57,55151515",9.59,The Compound Effect,Darren Hardy,"-57,55151515",9.59,The Compound Effect,Darren Hardy,"-57,55151515",9.59,The Compound Effect,Darren Hardy,"-57,55151515",9.59
The 7 Habits of Highly Effective People,Stephen R. Covey,"-57,74545455",23.59,The 7 Habits of Highly Effective People,Stephen R. Covey,"-57,74545455",23.59,The 7 Habits of Highly Effective People,Stephen R. Covey,"-57,74545455",23.59,The 7 Habits of Highly Effective People,Stephen R. Covey,"-57,74545455",23.59,The 7 Habits of Highly Effective People,Stephen R. Covey,"-57,74545455",23.59
The Miracle Morning,Hal Elrod,"-57,93939394",21.45,The Miracle Morning,Hal Elrod,"-57,93939394",21.45,The Miracle Morning,Hal Elrod,"-57,93939394",21.45,The Miracle Morning,Hal Elrod,"-57,93939394",21.45,The Miracle Morning,Hal Elrod,"-57,93939394",21.45
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-58,13333333",12.110,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-58,13333333",12.110,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-58,13333333",12.110,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-58,13333333",12.110,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-58,13333333",12.110
The ONE Thing,Gary Keller,"-58,32727273",11.29,The ONE Thing,Gary Keller,"-58,32727273",11.29,The ONE Thing,Gary Keller,"-58,32727273",11.29,The ONE Thing,Gary Keller,"-58,32727273",11.29,The ONE Thing,Gary Keller,"-58,32727273",11.29
The Compound Effect,Darren Hardy,"-58,52121212",9.59,The Compound Effect,Darren Hardy,"-58,52121212",9.59,The Compound Effect,Darren Hardy,"-58,52121212",9.59,The Compound Effect,Darren Hardy,"-58,52121212",9.59,The Compound Effect,Darren Hardy,"-58,52121212",9.59
The 7 Habits of Highly Effective People,Stephen R. Covey,"-58,71515152",23.59,The 7 Habits of Highly Effective People,Stephen R. Covey,"-58,71515152",23.59,The 7 Habits of Highly Effective People,Stephen R. Covey,"-58,71515152",23.59,The 7 Habits of Highly Effective People,Stephen R. Covey,"-58,71515152",23.59,The 7 Habits of Highly Effective People,Stephen R. Covey,"-58,71515152",23.59
The Miracle Morning,Hal Elrod,"-58,90909091",21.45,The Miracle Morning,Hal Elrod,"-58,90909091",21.45,The Miracle Morning,Hal Elrod,"-58,90909091",21.45,The Miracle Morning,Hal Elrod,"-58,90909091",21.45,The Miracle Morning,Hal Elrod,"-58,90909091",21.45
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-59,1030303",12.110,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-59,1030303",12.110,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-59,1030303",12.110,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-59,1030303",12.110,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-59,1030303",12.110
The ONE Thing,Gary Keller,"-59,2969697",11.29,The ONE Thing,Gary Keller,"-59,2969697",11.29,The ONE Thing,Gary Keller,"-59,2969697",11.29,The ONE Thing,Gary Keller,"-59,2969697",11.29,The ONE Thing,Gary Keller,"-59,2969697",11.29
The Compound Effect,Darren Hardy,"-59,49090909",9.60,The Compound Effect,Darren Hardy,"-59,49090909",9.60,The Compound Effect,Darren Hardy,"-59,49090909",9.60,The Compound Effect,Darren Hardy,"-59,49090909",9.60,The Compound Effect,Darren Hardy,"-59,49090909",9.60
The 7 Habits of Highly Effective People,Stephen R. Covey,"-59,68484848",23.60,The 7 Habits of Highly Effective People,Stephen R. Covey,"-59,68484848",23.60,The 7 Habits of Highly Effective People,Stephen R. Covey,"-59,68484848",23.60,The 7 Habits of Highly Effective People,Stephen R. Covey,"-59,68484848",23.60,The 7 Habits of Highly Effective People,Stephen R. Covey,"-59,68484848",23.60
The Miracle Morning,Hal Elrod,"-59,87878788",21.46,The Miracle Morning,Hal Elrod,"-59,87878788",21.46,The Miracle Morning,Hal Elrod,"-59,87878788",21.46,The Miracle Morning,Hal Elrod,"-59,87878788",21.46,The Miracle Morning,Hal Elrod,"-59,87878788",21.46
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-60,07272727",12.111,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-60,07272727",12.111,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-60,07272727",12.111,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-60,07272727",12.111,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-60,07272727",12.111
The Compound Effect,Darren Hardy,"-60,26666667",9.58,The Compound Effect,Darren Hardy,"-60,26666667",9.58,The Compound Effect,Darren Hardy,"-60,26666667",9.58,The Compound Effect,Darren Hardy,"-60,26666667",9.58,The Compound Effect,Darren Hardy,"-60,26666667",9.58
The 7 Habits of Highly Effective People,Stephen R. Covey,"-60,46060606",23.58,The 7 Habits of Highly Effective People,Stephen R. Covey,"-60,46060606",23.58,The 7 Habits of Highly Effective People,Stephen R. Covey,"-60,46060606",23.58,The 7 Habits of Highly Effective People,Stephen R. Covey,"-60,46060606",23.58,The 7 Habits of Highly Effective People,Stephen R. Covey,"-60,46060606",23.58
The Miracle Morning,Hal Elrod,"-60,65454545",21.44,The Miracle Morning,Hal Elrod,"-60,65454545",21.44,The Miracle Morning,Hal Elrod,"-60,65454545",21.44,The Miracle Morning,Hal Elrod,"-60,65454545",21.44,The Miracle Morning,Hal Elrod,"-60,65454545",21.44
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-60,84848485",12.109,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-60,84848485",12.109,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-60,84848485",12.109,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-60,84848485",12.109,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-60,84848485",12.109
The ONE Thing,Gary Keller,"-61,04242424",11.28,The ONE Thing,Gary Keller,"-61,04242424",11.28,The ONE Thing,Gary Keller,"-61,04242424",11.28,The ONE Thing,Gary Keller,"-61,04242424",11.28,The ONE Thing,Gary Keller,"-61,04242424",11.28
The Compound Effect,Darren Hardy,"-61,23636364",9.58,The Compound Effect,Darren Hardy,"-61,23636364",9.58,The Compound Effect,Darren Hardy,"-61,23636364",9.58,The Compound Effect,Darren Hardy,"-61,23636364",9.58,The Compound Effect,Darren Hardy,"-61,23636364",9.58
The 7 Habits of Highly Effective People,Stephen R. Covey,"-61,43030303",23.58,The 7 Habits of Highly Effective People,Stephen R. Covey,"-61,43030303",23.58,The 7 Habits of Highly Effective People,Stephen R. Covey,"-61,43030303",23.58,The 7 Habits of Highly Effective People,Stephen R. Covey,"-61,43030303",23.58,The 7 Habits of Highly Effective People,Stephen R. Covey,"-61,43030303",23.58
The Miracle Morning,Hal Elrod,"-61,62424242",21.44,The Miracle Morning,Hal Elrod,"-61,62424242",21.44,The Miracle Morning,Hal Elrod,"-61,62424242",21.44,The Miracle Morning,Hal Elrod,"-61,62424242",21.44,The Miracle Morning,Hal Elrod,"-61,62424242",21.44
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-61,81818182",12.109,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-61,81818182",12.109,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-61,81818182",12.109,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-61,81818182",12.109,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-61,81818182",12.109
The ONE Thing,Gary Keller,"-62,01212121",11.28,The ONE Thing,Gary Keller,"-62,01212121",11.28,The ONE Thing,Gary Keller,"-62,01212121",11.28,The ONE Thing,Gary Keller,"-62,01212121",11.28,The ONE Thing,Gary Keller,"-62,01212121",11.28
The Compound Effect,Darren Hardy,"-62,20606061",9.59,The Compound Effect,Darren Hardy,"-62,20606061",9.59,The Compound Effect,Darren Hardy,"-62,20606061",9.59,The Compound Effect,Darren Hardy,"-62,20606061",9.59,The Compound Effect,Darren Hardy,"-62,20606061",9.59
The 7 Habits of Highly Effective People,Stephen R. Covey,"-62,4",23.59,The 7 Habits of Highly Effective People,Stephen R. Covey,"-62,4",23.59,The 7 Habits of Highly Effective People,Stephen R. Covey,"-62,4",23.59,The 7 Habits of Highly Effective People,Stephen R. Covey,"-62,4",23.59,The 7 Habits of Highly Effective People,Stephen R. Covey,"-62,4",23.59
The Miracle Morning,Hal Elrod,"-62,59393939",21.45,The Miracle Morning,Hal Elrod,"-62,59393939",21.45,The Miracle Morning,Hal Elrod,"-62,59393939",21.45,The Miracle Morning,Hal Elrod,"-62,59393939",21.45,The Miracle Morning,Hal Elrod,"-62,59393939",21.45
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-62,78787879",12.110,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-62,78787879",12.110,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-62,78787879",12.110,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-62,78787879",12.110,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-62,78787879",12.110
The ONE Thing,Gary Keller,"-62,98181818",11.29,The ONE Thing,Gary Keller,"-62,98181818",11.29,The ONE Thing,Gary Keller,"-62,98181818",11.29,The ONE Thing,Gary Keller,"-62,98181818",11.29,The ONE Thing,Gary Keller,"-62,98181818",11.29
The Compound Effect,Darren Hardy,"-63,17575758",9.59,The Compound Effect,Darren Hardy,"-63,17575758",9.59,The Compound Effect,Darren Hardy,"-63,17575758",9.59,The Compound Effect,Darren Hardy,"-63,17575758",9.59,The Compound Effect,Darren Hardy,"-63,17575758",9.59
The 7 Habits of Highly Effective People,Stephen R. Covey,"-63,36969697",23.59,The 7 Habits of Highly Effective People,Stephen R. Covey,"-63,36969697",23.59,The 7 Habits of Highly Effective People,Stephen R. Covey,"-63,36969697",23.59,The 7 Habits of Highly Effective People,Stephen R. Covey,"-63,36969697",23.59,The 7 Habits of Highly Effective People,Stephen R. Covey,"-63,36969697",23.59
The Miracle Morning,Hal Elrod,"-63,56363636",21.45,The Miracle Morning,Hal Elrod,"-63,56363636",21.45,The Miracle Morning,Hal Elrod,"-63,56363636",21.45,The Miracle Morning,Hal Elrod,"-63,56363636",21.45,The Miracle Morning,Hal Elrod,"-63,56363636",21.45
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-63,75757576",12.110,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-63,75757576",12.110,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-63,75757576",12.110,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-63,75757576",12.110,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-63,75757576",12.110
The ONE Thing,Gary Keller,"-63,95151515",11.29,The ONE Thing,Gary Keller,"-63,95151515",11.29,The ONE Thing,Gary Keller,"-63,95151515",11.29,The ONE Thing,Gary Keller,"-63,95151515",11.29,The ONE Thing,Gary Keller,"-63,95151515",11.29
The Compound Effect,Darren Hardy,"-64,14545455",9.60,The Compound Effect,Darren Hardy,"-64,14545455",9.60,The Compound Effect,Darren Hardy,"-64,14545455",9.60,The Compound Effect,Darren Hardy,"-64,14545455",9.60,The Compound Effect,Darren Hardy,"-64,14545455",9.60
The 7 Habits of Highly Effective People,Stephen R. Covey,"-64,33939394",23.60,The 7 Habits of Highly Effective People,Stephen R. Covey,"-64,33939394",23.60,The 7 Habits of Highly Effective People,Stephen R. Covey,"-64,33939394",23.60,The 7 Habits of Highly Effective People,Stephen R. Covey,"-64,33939394",23.60,The 7 Habits of Highly Effective People,Stephen R. Covey,"-64,33939394",23.60
The Miracle Morning,Hal Elrod,"-64,53333333",21.46,The Miracle Morning,Hal Elrod,"-64,53333333",21.46,The Miracle Morning,Hal Elrod,"-64,53333333",21.46,The Miracle Morning,Hal Elrod,"-64,53333333",21.46,The Miracle Morning,Hal Elrod,"-64,53333333",21.46
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-64,72727273",12.111,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-64,72727273",12.111,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-64,72727273",12.111,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-64,72727273",12.111,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-64,72727273",12.111
The ONE Thing,Gary Keller,"-64,92121212",11.30,The ONE Thing,Gary Keller,"-64,92121212",11.30,The ONE Thing,Gary Keller,"-64,92121212",11.30,The ONE Thing,Gary Keller,"-64,92121212",11.30,The ONE Thing,Gary Keller,"-64,92121212",11.30
The Compound Effect,Darren Hardy,"-65,11515152",9.60,The Compound Effect,Darren Hardy,"-65,11515152",9.60,The Compound Effect,Darren Hardy,"-65,11515152",9.60,The Compound Effect,Darren Hardy,"-65,11515152",9.60,The Compound Effect,Darren Hardy,"-65,11515152",9.60
The 7 Habits of Highly Effective People,Stephen R. Covey,"-65,30909091",23.60,The 7 Habits of Highly Effective People,Stephen R. Covey,"-65,30909091",23.60,The 7 Habits of Highly Effective People,Stephen R. Covey,"-65,30909091",23.60,The 7 Habits of Highly Effective People,Stephen R. Covey,"-65,30909091",23.60,The 7 Habits of Highly Effective People,Stephen R. Covey,"-65,30909091",23.60
The Miracle Morning,Hal Elrod,"-65,5030303",21.46,The Miracle Morning,Hal Elrod,"-65,5030303",21.46,The Miracle Morning,Hal Elrod,"-65,5030303",21.46,The Miracle Morning,Hal Elrod,"-65,5030303",21.46,The Miracle Morning,Hal Elrod,"-65,5030303",21.46
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-65,6969697",12.111,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-65,6969697",12.111,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-65,6969697",12.111,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-65,6969697",12.111,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-65,6969697",12.111
